Sno,Name (Party),Total Assets in Lok Sabha 2024,Total Assets in Lok Sabha 2019,Asset Increase,% Increase in Asset,Remarks
205,Parbhubhai Nagarbhai Vasava (BJP),"4,70,03,5064 Crore+","2,83,50,2172 Crore+","1,86,53,2891 Crore+",66%,PAN is Different
206,Tatkare Sunil Dattatrey (NCP),"14,57,68,77314 Crore+","12,74,87,27712 Crore+","1,82,81,4961 Crore+",14%,
208,Ramprit Mandal (JD(U)),"10,59,78,77210 Crore+","8,81,19,6868 Crore+","1,78,59,0861 Crore+",20%,
209,M.K. Vishnuprasad (INC),"25,19,78,58025 Crore+","23,45,64,81523 Crore+","1,74,13,7651 Crore+",7%,
210,Dinesh Lal Yadav (Nirahua) (BJP),"9,40,63,5369 Crore+","7,67,46,5637 Crore+","1,73,16,9731 Crore+",23%,Age Difference=2
211,Dr Bhola Singh (BJP),"3,60,17,2323 Crore+","1,87,28,8611 Crore+","1,72,88,3711 Crore+",92%,
212,Ajay Kumar (BJP),"6,25,72,0886 Crore+","4,52,95,4554 Crore+","1,72,76,6331 Crore+",38%,Age Difference=3
213,Kripanath Mallah (BJP),"1,88,62,4041 Crore+","18,71,04018 Lacs+","1,69,91,3641 Crore+",908%,
214,Rahul Kaswan (INC),"5,33,22,9895 Crore+","3,67,23,8653 Crore+","1,65,99,1241 Crore+",45%,Party in last election was BJP
215,Adhir Ranjan Chowdhury (INC),"11,73,48,80011 Crore+","10,13,15,43710 Crore+","1,60,33,3631 Crore+",16%,
217,Sajda Ahmed (AITC),"4,40,42,0254 Crore+","2,83,51,5692 Crore+","1,56,90,4561 Crore+",55%,
218,Debasree Chaudhuri (BJP),"2,17,99,5232 Crore+","61,39,12361 Lacs+","1,56,60,4001 Crore+",255%,
219,Sanjeev Kumar Balyan (BJP),"3,11,39,9023 Crore+","1,57,81,1891 Crore+","1,53,58,7131 Crore+",97%,
220,Anupriya Patel (Apna Dal (Soneylal)),"4,22,41,7544 Crore+","2,69,00,6622 Crore+","1,53,41,0921 Crore+",57%,
221,Thirumaavalavan Thol (Viduthalai Chiruthaigal Katchi),"2,44,55,9032 Crore+","92,44,09292 Lacs+","1,52,11,8111 Crore+",165%,
222,Dr Jitendra Singh (BJP),"8,59,05,0058 Crore+","7,08,27,2037 Crore+","1,50,77,8021 Crore+",21%,
223,Arun Kumar Sagar (BJP),"5,83,17,4535 Crore+","4,34,48,0494 Crore+","1,48,69,4041 Crore+",34%,
224,Aparajita Sarangi (BJP),"4,62,54,2134 Crore+","3,16,77,6003 Crore+","1,45,76,6131 Crore+",46%,
226,Indra Hang Subba (Sikkim Krantikari Morcha),"1,48,45,7721 Crore+","4,78,8174 Lacs+","1,43,66,9551 Crore+",3001%,
227,N. Reddeppa (YSRCP),"3,15,64,3983 Crore+","1,73,55,8621 Crore+","1,42,08,5361 Crore+",82%,
228,Arjun Ram Meghwal (BJP),"3,76,54,8633 Crore+","2,35,24,4592 Crore+","1,41,30,4041 Crore+",60%,
229,Vinayak Bhaurao Raut (ShivSena (Uddhav Balasaheb Thackeray)),"6,46,43,4126 Crore+","5,06,60,5345 Crore+","1,39,82,8781 Crore+",28%,Party in last election was SHS
230,Tapir Gao (BJP),"15,05,37,70615 Crore+","13,66,28,25913 Crore+","1,39,09,4471 Crore+",10%,
231,Dilip Ghosh (BJP),"1,82,45,5891 Crore+","45,36,46245 Lacs+","1,37,09,1271 Crore+",302%,
232,N K Premachandran (Revolutionary Socialist Party),"3,11,94,8993 Crore+","1,75,00,6501 Crore+","1,36,94,2491 Crore+",78%,
233,Smt. Himadri Singh (BJP),"5,01,80,2675 Crore+","3,65,64,4083 Crore+","1,36,15,8591 Crore+",37%,
235,Kaushalendra Kumar (JD(U)),"4,24,53,7734 Crore+","2,92,51,6512 Crore+","1,32,02,1221 Crore+",45%,
236,M. K. Raghavan (INC),"2,49,36,7752 Crore+","1,25,02,0091 Crore+","1,24,34,7661 Crore+",99%,
237,Ramesh Jigajinagi (BJP),"51,63,15,99451 Crore+","50,41,22,98550 Crore+","1,21,93,0091 Crore+",2%,
238,E.T. Mohammed Basheer (Indian Union Muslim League),"2,02,52,2932 Crore+","81,03,27481 Lacs+","1,21,49,0191 Crore+",150%,Party in last election was IUML
239,Jual Oram (BJP),"8,63,25,8708 Crore+","7,41,85,0147 Crore+","1,21,40,8561 Crore+",16%,
240,Manickam Tagore B (INC),"6,17,19,8026 Crore+","4,97,05,7994 Crore+","1,20,14,0031 Crore+",24%,
241,Niranjan Jyoti (BJP),"2,26,35,0062 Crore+","1,06,67,3721 Crore+","1,19,67,6341 Crore+",112%,PAN is Different
242,Ashok Kumar Yadav (BJP),"5,85,83,7735 Crore+","4,66,99,1254 Crore+","1,18,84,6481 Crore+",25%,PAN is Different
244,Pradeep Kumar Singh (BJP),"1,60,59,8061 Crore+","50,10,57750 Lacs+","1,10,49,2291 Crore+",221%,
245,Rajmohan Unnithan (INC),"3,24,32,1353 Crore+","2,15,70,2572 Crore+","1,08,61,8781 Crore+",50%,
246,Bidyut Baran Mahato (BJP),"3,83,45,0633 Crore+","2,77,50,6712 Crore+","1,05,94,3921 Crore+",38%,
247,Dulal Chandra Goswami (JD(U)),"2,38,13,2702 Crore+","1,33,02,7341 Crore+","1,05,10,5361 Crore+",79%,
248,Sanjay Seth (BJP),"2,41,52,0852 Crore+","1,40,44,2671 Crore+","1,01,07,8181 Crore+",72%,
249,Asit Kumar Mal (AITC),"1,12,57,4051 Crore+","13,10,69113 Lacs+","99,46,71499 Lacs+",759%,
250,Pradan Baruah (BJP),"2,42,05,5362 Crore+","1,43,07,9781 Crore+","98,97,55898 Lacs+",69%,
251,Pradyut Bordoloi (INC),"8,39,15,4368 Crore+","7,41,43,2727 Crore+","97,72,16497 Lacs+",13%,
253,Abhishek Banerjee (AITC),"2,32,64,5632 Crore+","1,37,94,3201 Crore+","94,70,24394 Lacs+",69%,
254,Khadse Raksha Nikhil (BJP),"18,21,17,79018 Crore+","17,27,13,73417 Crore+","94,04,05694 Lacs+",5%,
255,Jothimani. S (INC),"1,53,52,3731 Crore+","60,46,05560 Lacs+","93,06,31893 Lacs+",154%,
256,Bhagwanth Khuba (BJP),"6,11,16,1826 Crore+","5,18,36,4165 Crore+","92,79,76692 Lacs+",18%,Age Difference=7
257,Radha Mohan Singh (BJP),"4,29,65,4164 Crore+","3,37,91,3753 Crore+","91,74,04191 Lacs+",27%,
258,Mohammed Faizal Pp (Nationalist Congress Party – Sharadchandra Pawar),"96,95,09596 Lacs+","9,38,6419 Lacs+","87,56,45487 Lacs+",933%,Party in last election was NCP
259,Rajveer Singh (Raju Bhaiya) (BJP),"39,23,82,73239 Crore+","38,36,29,73538 Crore+","87,52,99787 Lacs+",2%,
260,Locket Chatterjee (BJP),"4,45,89,1394 Crore+","3,58,55,6983 Crore+","87,33,44187 Lacs+",24%,PAN is Different
262,Mahua Moitra (AITC),"3,50,67,1663 Crore+","2,64,95,2502 Crore+","85,71,91685 Lacs+",32%,
263,Agatha K Sangma (National Peoples Party),"3,79,34,0563 Crore+","2,94,06,8132 Crore+","85,27,24385 Lacs+",29%,Party in last election was NPP
264,Gurumoorthy Maddila (YSRCP),"1,32,49,1341 Crore+","47,25,04447 Lacs+","85,24,09085 Lacs+",180%,Age Difference=3
265,Chirag Paswan (Lok Janshakti Party(Ram Vilas)),"2,68,75,8732 Crore+","1,84,66,0661 Crore+","84,09,80784 Lacs+",46%,Party in last election was LJP
266,Pradeep Kumar (BJP),"2,55,64,7522 Crore+","1,72,92,9371 Crore+","82,71,81582 Lacs+",48%,
267,Dr Jayanta Kumar Roy (BJP),"1,93,56,5581 Crore+","1,16,25,0471 Crore+","77,31,51177 Lacs+",67%,
268,Bandi Sanjay Kumar (BJP),"1,12,75,0001 Crore+","36,11,80036 Lacs+","76,63,20076 Lacs+",212%,
269,Sunil Kumar (JD(U)),"1,27,64,1941 Crore+","52,61,77552 Lacs+","75,02,41975 Lacs+",143%,
271,Dr. Virendra Kumar (BJP),"2,88,37,0062 Crore+","2,15,03,7662 Crore+","73,33,24073 Lacs+",34%,
272,Janardan Singh (Sigriwal) (BJP),"1,75,36,4361 Crore+","1,04,51,9861 Crore+","70,84,45070 Lacs+",68%,Age Difference=10
273,Vishnu Dayal Ram (BJP),"3,90,81,1163 Crore+","3,22,73,8733 Crore+","68,07,24368 Lacs+",21%,
274,Delkar Kalaben Mohanbhai (BJP),"71,44,54,35771 Crore+","70,77,74,49570 Crore+","66,79,86266 Lacs+",1%,Age Difference=3Party in last election was SHS
275,Sukanta Majumdar (BJP),"1,24,76,8251 Crore+","58,25,86658 Lacs+","66,50,95966 Lacs+",114%,
276,Anto Antony (INC),"1,24,71,8561 Crore+","60,76,14360 Lacs+","63,95,71363 Lacs+",105%,
277,V K Sreekandan (INC),"1,24,21,3581 Crore+","63,56,39963 Lacs+","60,64,95960 Lacs+",95%,
278,Achyutananda Samanta (BJD),"71,43,69371 Lacs+","12,44,72212 Lacs+","58,98,97158 Lacs+",474%,
280,Ajay Kumar Mandal (JD(U)),"1,22,32,7561 Crore+","68,01,12668 Lacs+","54,31,63054 Lacs+",80%,
281,Chandeshwar Prasad (JD(U)),"14,46,82,82614 Crore+","13,92,71,69313 Crore+","54,11,13354 Lacs+",4%,
282,Ramya Haridas (INC),"63,66,42763 Lacs+","11,52,81611 Lacs+","52,13,61152 Lacs+",452%,PAN was missing last time
283,Ravneet Singh Bittu (BJP),"5,94,28,9245 Crore+","5,42,81,0965 Crore+","51,47,82851 Lacs+",9%,Party in last election was INC
284,Mala Roy (AITC),"1,53,97,0921 Crore+","1,03,08,4011 Crore+","50,88,69150 Lacs+",49%,
285,Narendra Modi (BJP),"3,02,06,8893 Crore+","2,51,36,1192 Crore+","50,70,77050 Lacs+",20%,
286,Kailash Choudhary (BJP),"72,76,93472 Lacs+","24,02,25024 Lacs+","48,74,68448 Lacs+",203%,
287,Jagannath Sarkar (BJP),"2,23,28,9682 Crore+","1,76,22,4761 Crore+","47,06,49247 Lacs+",27%,
289,Pratap Chandra Sarangi (BJP),"49,59,07249 Lacs+","13,46,23613 Lacs+","36,12,83636 Lacs+",268%,
290,Sumedhanand Saraswati (BJP),"62,80,84862 Lacs+","28,27,63828 Lacs+","34,53,21034 Lacs+",122%,
291,Khagen Murmu (BJP),"1,35,90,8461 Crore+","1,02,32,4391 Crore+","33,58,40733 Lacs+",33%,
292,Ravikumar. D (Viduthalai Chiruthaigal Katchi),"97,87,13697 Lacs+","65,09,86065 Lacs+","32,77,27632 Lacs+",50%,Party in last election was DMK
293,Ram Kripal Yadav (BJP),"3,24,78,1043 Crore+","2,92,13,4672 Crore+","32,64,63732 Lacs+",11%,
294,Durgadas (D. D.) Uikey (BJP),"1,84,87,2321 Crore+","1,54,13,5321 Crore+","30,73,70030 Lacs+",20%,
